model_name,feature,importance
lgbm_gpu_engineered,z2_z_btc_bollinger_width_change_20d__z_silver_return_1d__div,0.015772
lgbm_gpu_engineered,z2_z_sp500_return_1d__z_btc_sp500_rolling_corr_30d__div,0.013801
lgbm_gpu_engineered,z2_z_btc_rsi_30__z_btc_rolling_position_60d__div,0.013143
lgbm_gpu_engineered,z_us30y_level_z_120d,0.012924
lgbm_gpu_engineered,z2_z_btc_bollinger_width_20d__z_sp500_return_1d__mul,0.012705
lgbm_gpu_engineered,z2_z_sp500_return_1d__z_btc_candle_range_pct__div,0.012486
lgbm_gpu_engineered,z2_z_btc_bollinger_width_20d__z_btc_drawdown_change_60d__mul,0.012048
lgbm_gpu_engineered,z2_z_btc_volume_pct_7d__z_btc_return_lag_1__add,0.012048
lgbm_gpu_engineered,z_btc_log_volume,0.011172
lgbm_gpu_engineered,z2_z_btc_drawdown_change_120d__z_btc_sp500_rolling_corr_30d__div,0.011172
lgbm_gpu_engineered,z2_z_btc_bollinger_width_20d__z_silver_return_1d__div,0.010734
lgbm_gpu_engineered,z2_z_btc_drawdown_change_120d__z_silver_return_1d__div,0.010515
lgbm_gpu_engineered,z2_z_btc_rsi_14__z_btc_rsi_7__div,0.010296
lgbm_gpu_engineered,z2_z_btc_trend_above_sma50__z_btc_rsi_30__mul,0.009858
lgbm_gpu_engineered,z2_z_sp500_return_1d__z_btc_return_lag_1__div,0.009858
lgbm_gpu_engineered,z2_z_btc_return_lag_1__z_btc_return_60d__mul,0.009419
lgbm_gpu_engineered,z2_z_sp500_return_1d__z_btc_return_60d__mul,0.008981
lgbm_gpu_engineered,z2_z_us10y_us5y_spread__z_btc_rolling_position_7d__add,0.008981
lgbm_gpu_engineered,z2_z_btc_volume_pct_7d__z_btc_drawdown_change_120d__sub,0.008981
lgbm_gpu_engineered,z2_z_btc_bollinger_width_20d__z_btc_bollinger_percent_b_20d__mul,0.008762
lgbm_gpu_engineered,z2_z_btc_volume_pct_7d__z_btc_sp500_rolling_corr_30d__div,0.008762
lgbm_gpu_engineered,z2_z_silver_return_7d__z_btc_candle_range_pct__mul,0.008762
lgbm_gpu_engineered,z2_z_btc_rolling_position_60d__z_btc_rsi_7__div,0.008543
lgbm_gpu_engineered,z_btc_return_lag_1,0.008324
lgbm_gpu_engineered,z2_z_btc_bollinger_width_change_20d__z_btc_drawdown_change_60d__mul,0.008324
lgbm_gpu_engineered,z2_z_btc_rsi_14__z_btc_drawdown_change_60d__mul,0.008324
lgbm_gpu_engineered,z2_z_btc_rsi_14__z_btc_nasdaq_rolling_corr_30d__div,0.008324
lgbm_gpu_engineered,z2_z_silver_return_1d__z_gold_return_7d__div,0.008324
lgbm_gpu_engineered,z2_z_btc_bollinger_width_change_20d__z_btc_sp500_rolling_corr_30d__mul,0.008324
lgbm_gpu_engineered,z2_z_silver_return_7d__z_us5y_bp_chg_7d__add,0.008105
lgbm_gpu_engineered,z2_z_btc_rolling_position_60d__z_btc_drawdown_change_30d__div,0.008105
lgbm_gpu_engineered,z2_z_btc_nasdaq_rolling_corr_30d__z_btc_return_60d__mul,0.008105
lgbm_gpu_engineered,z2_z_btc_bollinger_width_20d__z_btc_return_lag_1__add,0.008105
lgbm_gpu_engineered,z_btc_bollinger_width_20d,0.007886
lgbm_gpu_engineered,z_us5y_bp_chg_7d,0.007886
lgbm_gpu_engineered,z2_z_btc_rsi_14__z_btc_return_60d__mul,0.007886
lgbm_gpu_engineered,z2_z_btc_bollinger_lower_distance_20d__z_btc_drawdown_change_30d__div,0.007886
