model_name,split,feature,correlation
lgbm_gpu_engineered,1,z2_z_btc_bollinger_width_change_20d__z_silver_return_1d__div,0.0128
lgbm_gpu_engineered,1,z_btc_return_lag_30,0.0948
lgbm_gpu_engineered,1,z2_z_btc_drawdown_change_120d__z_silver_return_1d__div,0.0645
lgbm_gpu_engineered,1,z2_z_btc_bollinger_width_20d__z_sp500_return_1d__mul,-0.0778
lgbm_gpu_engineered,1,z2_z_us5y_bp_chg_7d__z_gold_return_7d__add,-0.041
lgbm_gpu_engineered,1,z_oil_return_60d,0.0402
lgbm_gpu_engineered,1,z2_z_btc_bollinger_width_20d__z_gold_return_7d__sub,0.0676
lgbm_gpu_engineered,1,z_us30y_level_z_120d,0.0548
lgbm_gpu_engineered,1,z2_z_btc_bollinger_width_change_20d__z_btc_drawdown_change_60d__mul,0.1108
lgbm_gpu_engineered,1,z2_z_btc_bollinger_width_20d__z_btc_drawdown_change_60d__mul,0.0105
lgbm_gpu_engineered,2,z2_z_btc_bollinger_width_change_20d__z_silver_return_1d__div,0.0269
lgbm_gpu_engineered,2,z_btc_return_lag_30,0.0011
lgbm_gpu_engineered,2,z2_z_btc_drawdown_change_120d__z_silver_return_1d__div,-0.0476
lgbm_gpu_engineered,2,z2_z_btc_bollinger_width_20d__z_sp500_return_1d__mul,0.1877
lgbm_gpu_engineered,2,z2_z_us5y_bp_chg_7d__z_gold_return_7d__add,0.1423
lgbm_gpu_engineered,2,z_oil_return_60d,-0.0818
lgbm_gpu_engineered,2,z2_z_btc_bollinger_width_20d__z_gold_return_7d__sub,-0.0987
lgbm_gpu_engineered,2,z_us30y_level_z_120d,0.0613
lgbm_gpu_engineered,2,z2_z_btc_bollinger_width_change_20d__z_btc_drawdown_change_60d__mul,-0.0923
lgbm_gpu_engineered,2,z2_z_btc_bollinger_width_20d__z_btc_drawdown_change_60d__mul,0.0495
lgbm_gpu_engineered,3,z2_z_btc_bollinger_width_change_20d__z_silver_return_1d__div,-0.1653
lgbm_gpu_engineered,3,z_btc_return_lag_30,0.0506
lgbm_gpu_engineered,3,z2_z_btc_drawdown_change_120d__z_silver_return_1d__div,-0.0334
lgbm_gpu_engineered,3,z2_z_btc_bollinger_width_20d__z_sp500_return_1d__mul,0.0899
lgbm_gpu_engineered,3,z2_z_us5y_bp_chg_7d__z_gold_return_7d__add,-0.0375
lgbm_gpu_engineered,3,z_oil_return_60d,-0.0892
lgbm_gpu_engineered,3,z2_z_btc_bollinger_width_20d__z_gold_return_7d__sub,0.0046
lgbm_gpu_engineered,3,z_us30y_level_z_120d,-0.0421
lgbm_gpu_engineered,3,z2_z_btc_bollinger_width_change_20d__z_btc_drawdown_change_60d__mul,-0.0561
lgbm_gpu_engineered,3,z2_z_btc_bollinger_width_20d__z_btc_drawdown_change_60d__mul,-0.0479
lgbm_gpu_engineered,4,z2_z_btc_bollinger_width_change_20d__z_silver_return_1d__div,-0.1364
lgbm_gpu_engineered,4,z_btc_return_lag_30,0.0916
lgbm_gpu_engineered,4,z2_z_btc_drawdown_change_120d__z_silver_return_1d__div,0.0793
lgbm_gpu_engineered,4,z2_z_btc_bollinger_width_20d__z_sp500_return_1d__mul,-0.1467
lgbm_gpu_engineered,4,z2_z_us5y_bp_chg_7d__z_gold_return_7d__add,0.0304
lgbm_gpu_engineered,4,z_oil_return_60d,0.0912
lgbm_gpu_engineered,4,z2_z_btc_bollinger_width_20d__z_gold_return_7d__sub,-0.058
lgbm_gpu_engineered,4,z_us30y_level_z_120d,-0.0983
lgbm_gpu_engineered,4,z2_z_btc_bollinger_width_change_20d__z_btc_drawdown_change_60d__mul,-0.3094
lgbm_gpu_engineered,4,z2_z_btc_bollinger_width_20d__z_btc_drawdown_change_60d__mul,-0.1879
xgb_gpu_engineered,1,z2_z_us30y_us10y_spread__z_btc_drawdown_change_120d__sub,0.0977
xgb_gpu_engineered,1,z2_z_btc_rolling_position_60d__z_btc_drawdown_change_120d__sub,0.0469
xgb_gpu_engineered,1,z2_z_btc_drawdown_change_60d__z_gold_return_7d__add,-0.0894
xgb_gpu_engineered,1,z2_z_btc_trend_above_sma50__z_btc_drawdown_change_120d__sub,0.0936
xgb_gpu_engineered,1,z2_z_sp500_return_1d__z_us5y_bp_chg_7d__add,-0.0476
xgb_gpu_engineered,1,z2_z_btc_rolling_position_60d__z_btc_drawdown_change_60d__mul,-0.0488
xgb_gpu_engineered,1,z2_z_btc_rolling_position_60d__z_btc_drawdown_change_30d__sub,0.0248
xgb_gpu_engineered,1,z2_z_us30y_us10y_spread__z_silver_return_7d__sub,0.0731
xgb_gpu_engineered,1,z2_z_btc_trend_above_sma20__z_btc_drawdown_change_60d__mul,-0.1368
xgb_gpu_engineered,1,z2_z_btc_bollinger_lower_distance_20d__z_btc_sp500_rolling_corr_30d__sub,-0.0905
xgb_gpu_engineered,2,z2_z_us30y_us10y_spread__z_btc_drawdown_change_120d__sub,0.1119
xgb_gpu_engineered,2,z2_z_btc_rolling_position_60d__z_btc_drawdown_change_120d__sub,-0.0093
xgb_gpu_engineered,2,z2_z_btc_drawdown_change_60d__z_gold_return_7d__add,0.0775
xgb_gpu_engineered,2,z2_z_btc_trend_above_sma50__z_btc_drawdown_change_120d__sub,0.0187
xgb_gpu_engineered,2,z2_z_sp500_return_1d__z_us5y_bp_chg_7d__add,-0.1047
xgb_gpu_engineered,2,z2_z_btc_rolling_position_60d__z_btc_drawdown_change_60d__mul,0.2629
xgb_gpu_engineered,2,z2_z_btc_rolling_position_60d__z_btc_drawdown_change_30d__sub,0.0277
xgb_gpu_engineered,2,z2_z_us30y_us10y_spread__z_silver_return_7d__sub,-0.0915
xgb_gpu_engineered,2,z2_z_btc_trend_above_sma20__z_btc_drawdown_change_60d__mul,0.2495
xgb_gpu_engineered,2,z2_z_btc_bollinger_lower_distance_20d__z_btc_sp500_rolling_corr_30d__sub,-0.2051
xgb_gpu_engineered,3,z2_z_us30y_us10y_spread__z_btc_drawdown_change_120d__sub,-0.029
xgb_gpu_engineered,3,z2_z_btc_rolling_position_60d__z_btc_drawdown_change_120d__sub,-0.1066
xgb_gpu_engineered,3,z2_z_btc_drawdown_change_60d__z_gold_return_7d__add,0.0257
xgb_gpu_engineered,3,z2_z_btc_trend_above_sma50__z_btc_drawdown_change_120d__sub,-0.0632
xgb_gpu_engineered,3,z2_z_sp500_return_1d__z_us5y_bp_chg_7d__add,-0.0676
xgb_gpu_engineered,3,z2_z_btc_rolling_position_60d__z_btc_drawdown_change_60d__mul,-0.0216
xgb_gpu_engineered,3,z2_z_btc_rolling_position_60d__z_btc_drawdown_change_30d__sub,-0.1136
xgb_gpu_engineered,3,z2_z_us30y_us10y_spread__z_silver_return_7d__sub,0.0513
xgb_gpu_engineered,3,z2_z_btc_trend_above_sma20__z_btc_drawdown_change_60d__mul,0.0714
xgb_gpu_engineered,3,z2_z_btc_bollinger_lower_distance_20d__z_btc_sp500_rolling_corr_30d__sub,0.0222
xgb_gpu_engineered,4,z2_z_us30y_us10y_spread__z_btc_drawdown_change_120d__sub,0.1226
xgb_gpu_engineered,4,z2_z_btc_rolling_position_60d__z_btc_drawdown_change_120d__sub,0.1012
xgb_gpu_engineered,4,z2_z_btc_drawdown_change_60d__z_gold_return_7d__add,0.0086
xgb_gpu_engineered,4,z2_z_btc_trend_above_sma50__z_btc_drawdown_change_120d__sub,0.0899
xgb_gpu_engineered,4,z2_z_sp500_return_1d__z_us5y_bp_chg_7d__add,-0.0542
xgb_gpu_engineered,4,z2_z_btc_rolling_position_60d__z_btc_drawdown_change_60d__mul,0.1631
xgb_gpu_engineered,4,z2_z_btc_rolling_position_60d__z_btc_drawdown_change_30d__sub,0.1098
xgb_gpu_engineered,4,z2_z_us30y_us10y_spread__z_silver_return_7d__sub,-0.0832
xgb_gpu_engineered,4,z2_z_btc_trend_above_sma20__z_btc_drawdown_change_60d__mul,0.1473
xgb_gpu_engineered,4,z2_z_btc_bollinger_lower_distance_20d__z_btc_sp500_rolling_corr_30d__sub,-0.1134
extra_trees_engineered,1,z_oil_rolling_position_60d,0.0915
extra_trees_engineered,1,z_btc_body_to_range,-0.1802
extra_trees_engineered,1,z_us30y_level_z_120d,0.0548
extra_trees_engineered,1,z2_z_btc_rolling_position_60d__z_btc_rsi_7__div,0.0662
extra_trees_engineered,1,z_btc_close_location,-0.0855
extra_trees_engineered,1,z2_z_btc_bollinger_width_change_20d__z_silver_return_1d__div,0.0128
extra_trees_engineered,1,z2_z_btc_bollinger_width_20d__z_gold_return_7d__sub,0.0676
extra_trees_engineered,1,z2_z_btc_rolling_position_7d__z_btc_rolling_position_60d__mul,-0.0214
extra_trees_engineered,1,z_gold_rolling_position_60d,-0.0844
