sharpe_ratio,gross_sharpe_ratio,win_rate_pct,total_return_pct,gross_total_return_pct,max_drawdown_pct,exposure_pct,trades,total_transaction_cost_pct,observations,active_observations,model_name,split,start,end
1.471,1.653,60.0,5.291,6.129,-1.216,3.97,8,0.8,126,5,lgbm_gpu_engineered,1,2024-11-26,2025-04-01
-0.249,0.093,46.67,2.967,6.309,-7.585,11.9,24,2.4,126,15,lgbm_gpu_engineered,2,2025-04-02,2025-08-06
-1.86,-1.645,29.41,-12.472,-7.987,-17.225,13.49,18,1.8,126,17,lgbm_gpu_engineered,3,2025-08-07,2025-12-10
-0.974,-0.948,20.0,-25.599,-21.464,-24.383,3.97,4,0.4,126,5,lgbm_gpu_engineered,4,2025-12-11,2026-04-17
-1.861,-1.554,25.0,-8.227,-6.931,-9.818,6.35,14,1.4,126,8,xgb_gpu_engineered,1,2024-11-26,2025-04-01
0.758,1.137,55.56,-5.812,-3.138,-2.026,7.14,14,1.4,126,9,xgb_gpu_engineered,2,2025-04-02,2025-08-06
-1.159,-0.853,44.44,-14.533,-9.969,-12.344,14.29,24,2.4,126,18,xgb_gpu_engineered,3,2025-08-07,2025-12-10
-0.628,-0.571,33.33,-23.197,-18.441,-19.082,4.76,8,0.8,126,6,xgb_gpu_engineered,4,2025-12-11,2026-04-17
-0.132,0.085,54.17,-2.038,-0.059,-9.723,19.05,20,2.0,126,24,extra_trees_engineered,1,2024-11-26,2025-04-01
0.821,1.208,51.85,4.367,10.145,-6.832,21.43,34,3.4,126,27,extra_trees_engineered,2,2025-04-02,2025-08-06
-1.088,-0.789,56.67,-7.4,0.705,-16.452,23.81,30,3.0,126,30,extra_trees_engineered,3,2025-08-07,2025-12-10
-1.286,-1.235,25.0,-25.258,-18.054,-27.319,6.35,8,0.8,126,8,extra_trees_engineered,4,2025-12-11,2026-04-17
